Name,Age,Date of Birth,Nationality,Team,Position,Debut,Height in feet,Weight in lb,Games,Assists,Goals,Powerplay Goals,Shorthand Goals,Winning Goals,Overtime Goals,Points,Powerplay Points,Shorthand Points,Shots,Shots Percentage,Penalty Minutes,Wins Percentage
Jakob Chychrun,23,1998,USA,ARIZONA COYOTES,D,2016,6' 2'',210,290,75,46,16,0,6,1,121,36,0,630,7.3,171,0
Conor Garland,25,1996,USA,ARIZONA COYOTES,RW,2015,5' 10'',165,164,49,47,11,0,8,0,96,26,0,411,11.4,58,42
Clayton Keller,22,1998,USA,ARIZONA COYOTES,RW,2016,5' 10'',170,293,125,68,13,0,13,2,193,65,1,720,9.4,94,41.1
Nick Schmaltz,25,1996,USA,ARIZONA COYOTES,C,2014,6' 0'',177,301,127,55,14,0,7,1,182,43,2,446,12.3,68,39.7
Christian Dvorak,25,1996,USA,ARIZONA COYOTES,C,2014,6' 0'',195,302,79,67,19,1,10,1,146,34,1,493,13.6,70,51.5
Brad Marchand,33,1988,CANADA,BOSTON BRUINS,LW,2006,5' 9'',181,804,396,319,56,31,61,16,715,152,51,1985,16.1,802,38.9
Patrice Bergeron,35,1985,CANADA,BOSTON BRUINS,C,2003,6' 1'',195,1143,542,375,114,20,70,9,917,284,43,3432,10.9,440,57.4
David Pastrnak,25,1996,CZECHIA,BOSTON BRUINS,RW,2014,6' 0'',194,438,227,200,68,0,33,4,427,139,0,1399,14.3,195,28.9
David Krejci,35,1986,CZECHIA,BOSTON BRUINS,C,2004,6' 0'',188,962,515,215,50,4,41,5,730,191,12,1736,12.4,339,50.9
Craig Smith,31,1989,USA,BOSTON BRUINS,C,2009,6' 0'',206,715,187,175,46,0,26,3,362,82,0,1826,9.6,282,40.9
Charlie McAvoy,23,1997,USA,BOSTON BRUINS,D,2016,6' 0'',208,235,98,24,5,0,6,3,122,19,3,349,6.9,177,0
Nick Ritchie,25,1995,CANADA,BOSTON BRUINS,LW,2014,6' 2'',230,350,78,59,11,0,11,0,137,26,0,621,9.5,387,30.8
Johnny Gaudreau,27,1993,USA,CALGARY FLAMES,LW,2011,5' 9'',165,520,324,170,40,0,32,9,494,146,0,1360,12.5,106,30.8
Elias Lindholm,26,1994,SWEDEN,CALGARY FLAMES,C,2013,6' 1'',195,581,228,139,41,2,29,4,367,119,11,1201,11.6,140,52.2
Matthew Tkachuk,23,1997,USA,CALGARY FLAMES,LW,2016,6' 2'',202,349,168,110,33,0,10,2,278,88,0,876,12.6,357,37.5
Andrew Mangiapane,25,1996,CANADA,CALGARY FLAMES,LW,2015,5' 10'',184,178,34,43,2,1,7,0,77,6,1,272,15.8,56,30
Mikael Backlund,32,1989,SWEDEN,CALGARY FLAMES,C,2007,6' 0'',200,744,243,154,28,15,30,7,397,77,24,1718,9,365,48.5
Sean Monahan,26,1994,CANADA,CALGARY FLAMES,C,2013,6' 2'',200,591,235,204,61,2,45,11,439,130,3,1404,14.5,129,50.2
Mark Giordano,37,1983,CANADA,CALGARY FLAMES,D,NOT FOUND,6' 1'',200,949,366,143,52,10,23,7,509,181,22,2029,7,759,0
Joe Pavelski,36,1984,WISCONSIN,DALLAS STARS,C,2003,5' 11'',195,1086,449,394,140,10,67,4,843,310,17,3112,12.7,416,54.7
Jason Robertson,21,1999,USA,DALLAS STARS,LW,2017,6' 3'',210,54,29,17,1,0,3,1,46,7,0,131,13,16,71.4
Roope Hintz,24,1996,FINLAND,DALLAS STARS,LW,2015,6' 3'',220,159,55,43,12,2,9,2,98,38,2,311,13.8,44,51.1
John Klingberg,28,1992,SWEDEN,DALLAS STARS,D,2010,6' 3'',190,478,262,65,18,0,19,4,327,128,0,978,6.6,179,100
Jamie Benn,31,1989,CANADA,DALLAS STARS,LW,2007,6' 2'',210,866,412,311,85,12,49,9,723,192,23,2369,13.1,646,50.2
Denis Gurianov,24,1997,RUSSIA,DALLAS STARS,RW,2015,6' 3'',200,141,30,33,11,0,6,0,63,21,0,285,11.6,34,33.3
Miro Heiskanen,21,1999,FINLAND,DALLAS STARS,D,2017,6' 1'',190,205,67,28,5,0,5,0,95,26,1,466,6,40,0
Esa Lindell,27,1994,FINLAND,DALLAS STARS,D,2012,6' 3'',215,364,84,32,7,3,5,2,116,26,6,568,5.6,110,0
Anze Kopitar,33,1987,SLOVENIA,LOS ANGELES KINGS,C,2005,6' 3'',225,1129,654,346,98,13,57,9,1000,358,22,2718,12.7,304,52.5
Drew Doughty,31,1989,CANADA,LOS ANGELES KINGS,D,2008,6' 1'',202,975,411,125,65,2,27,7,536,237,9,2064,6.1,661,33.3
Dustin Brown,36,1984,GERMANY,LOS ANGELES KINGS,RW,2003,6' 0'',210,1232,368,316,105,6,42,9,684,197,13,3214,9.8,718,43.4
Alex Iafallo,27,1993,USA,LOS ANGELES KINGS,LW,NOT FOUND,6' 0'',188,282,77,54,12,0,8,2,131,25,0,537,10.1,52,40.5
Adrian Kempe,24,1996,SWEDEN,LOS ANGELES KINGS,C,2014,6' 2'',201,312,77,55,7,3,10,2,132,35,6,544,10.1,162,40.9
Trevor Moore,26,1995,USA,LOS ANGELES KINGS,C,NOT FOUND,5' 10'',185,123,23,18,1,2,0,0,41,2,3,174,10.3,26,30.4
Gabriel Vilardi,21,1999,CANADA,LOS ANGELES KINGS,C,2017,6' 3'',201,64,17,13,4,0,3,0,30,6,0,84,15.5,10,46.8
Andreas Athanasiou,26,1994,CANADA,LOS ANGELES KINGS,C,2012,6' 2'',188,350,85,94,8,1,13,4,179,26,1,773,12.2,144,42.5
Jonathan Huberdeau,28,1993,CANADA,FLORIDA PANTHERS,LW,2011,6' 1'',202,591,330,168,39,1,19,3,498,152,1,1353,12.4,287,42.6
Aleksander Barkov,25,1995,FINLAND,FLORIDA PANTHERS,C,2013,6' 3'',215,529,284,181,50,7,33,6,465,130,10,1333,13.6,98,51.4
Carter Verhaeghe,25,1995,CANADA,FLORIDA PANTHERS,C,2013,6' 2'',180,95,22,27,2,1,4,0,49,3,1,164,16.5,39,46.3
MacKenzie Weegar,27,1994,CANADA,FLORIDA PANTHERS,D,2013,6' 0'',200,226,58,19,0,0,4,0,77,4,2,318,6,178,100
Patric Hornqvist,34,1987,SWEDEN,FLORIDA PANTHERS,RW,2005,5' 11'',189,814,260,252,92,0,43,1,512,161,0,2616,9.6,434,40.7
Anthony Duclair,25,1995,CANADA,FLORIDA PANTHERS,LW,2013,5' 1'',197,396,105,89,24,2,11,3,194,36,3,716,12.4,133,29.4
Alex Wennberg,26,1994,SWEDEN,FLORIDA PANTHERS,C,2013,6' 2'',197,471,173,57,12,2,11,2,230,61,5,583,9.8,93,46.1
Keith Yandle,34,1986,USA,FLORIDA PANTHERS,D,2005,6' 1'',192,1032,498,102,38,0,16,1,600,282,4,2301,4.4,602,0
Artemi Panarin,29,1991,RUSSIA,NEW YORK RANGERS,LW,NOT FOUND,5' 11'',170,433,308,165,42,0,30,7,473,122,0,1132,14.6,128,15.4
Mika Zibanejad,28,1993,SWEDEN,NEW YORK RANGERS,C,2011,6' 2'',208,604,234,200,66,9,31,6,434,134,14,1535,13,173,49.3
Ryan Strome,27,1993,CANADA,NEW YORK RANGERS,C,2011,6' 1'',193,547,194,109,20,1,14,2,303,75,5,1053,10.4,307,45.4
Pavel Buchnevich,26,1995,RUSSIA,NEW YORK RANGERS,RW,2013,6' 3'',197,301,116,79,18,3,8,0,195,49,4,578,13.7,112,23.5
Adam Fox,23,1998,USA,NEW YORK RANGERS,D,2016,5' 11'',181,125,76,13,3,1,5,0,89,36,2,227,5.7,46,0
Chris Kreider,30,1991,USA,NEW YORK RANGERS,LW,2009,6' 3'',217,573,169,177,58,0,23,1,346,92,0,1275,13.9,475,42
