Name,Age,Date of Birth,Gender,Country,Debut,Height in m,Weight in kg,Plays,Grip,Rank,Best Rank,Singles Played,Singles Won,Singles Lost,Doubles Played,Doubles Won,Doubles Lost,Total Played,Total Won,Total Lost
YOSHIMURA Maharu,28,1993,MALE,JAPAN,2010,1.77,61,RIGHT,SHAKEHAND,71,15,38,25,13,30,17,13,68,42,26
TOKIC Bojan,40,1981,MALE,SLOVENIA,2001,1.78,NOT FOUND,RIGHT,SHAKEHAND,62,25,39,21,18,1,0,1,45,23,22
PISTEJ Lubomir,37,1984,MALE,SLOVENIA,2001,NOT FOUND,80,RIGHT,SHAKEHAND,67,52,13,7,6,16,10,6,20,11,9
CHEN Chien-An,30,1991,MALE,TAIWAN,2005,1.7,72,LEFT,SHAKEHAND,74,17,5,2,3,6,4,2,9,5,4
DIAW Ibrahima,37,1984,MALE,FRANCE,2008,1.94,88,RIGHT,SHAKEHAND,60,59,4,2,2,1,0,1,4,2,2
LIM Jonghoon,24,1997,MALE,SOUTH KOREA,2010,NOT FOUND,NOT FOUND,LEFT,SHAKEHAND,70,16,21,11,10,1,0,1,43,26,17
NUYTINCK Cedric,26,1993,MALE,BELGIUM,2008,1.78,82,LEFT,SHAKEHAND,72,38,7,4,3,7,4,3,14,8,6
ALAMIYAN Noshad,29,1991,MALE,IRAN,2006,1.7,65,LEFT,SHAKEHAND,69,40,7,5,2,5,3,2,12,8,4
DESAI Harmeet,28,1993,MALE,INDIA,2008,1.71,NOT FOUND,RIGHT,SHAKEHAND,73,60,14,10,4,7,3,4,21,13,88
CHEN Meng,27,1994,FEMALE,CHINA,2007,1.66,59,RIGHT,SHAKEHAND,1,1,22,22,0,39,34,5,99,86,13
SUN Yingsha,20,2000,FEMALE,CHINA,2014,1.6,NOT FOUND,RIGHT,SHAKEHAND,2,2,14,9,5,13,9,4,27,18,9
ITO Mima,20,2000,FEMALE,JAPAN,2010,1.52,45,RIGHT,SHAKEHAND,3,2,11,11,0,13,10,3,36,28,8
WANG Manyu,22,1999,FEMALE,CHINA,2012,NOT FOUND,NOT FOUND,RIGHT,SHAKEHAND,4,2,16,12,4,53,45,8,26,21,5
DING Ning,31,1990,FEMALE,CHINA,2004,1.71,63,LEFT,SHAKEHAND,5,1,10,7,3,5,3,2,15,10,5
ZHU Yuling,26,1995,FEMALE,CHINA,2010,1.61,56,RIGHT,SHAKEHAND,6,1,8,5,3,4,4,0,12,9,3
LIU Shiwen,30,1991,FEMALE,CHINA,2004,1.61,48,RIGHT,SHAKEHAND,7,1,5,3,2,7,7,0,101,86,15
CHENG I-Ching,29,1992,FEMALE,TAIWAN,2006,1.65,52,RIGHT,SHAKEHAND,8,5,4,2,2,8,8,0,16,9,7
ISHIKAWA Kasumi,28,1993,FEMALE,JAPAN,2006,1.57,51,LEFT,SHAKEHAND,9,3,5,3,2,8,7,1,13,10,3
WANG Yidi,24,1997,FEMALE,CHINA,2014,1.63,NOT FOUND,RIGHT,SHAKEHAND,11,10,13,9,4,5,4,1,13,9,4
HIRANO Miu,21,2000,FEMALE,JAPAN,2010,1.56,45,RIGHT,SHAKEHAND,12,5,5,3,2,8,7,1,13,10,3
FENG Tianwei,35,1986,FEMALE,SINGAPORE,2004,1.64,NOT FOUND,RIGHT,SHAKEHAND,10,2,7,5,2,3,2,1,7,5,2
CHEN Xingtong,24,1997,FEMALE,CHINA,2012,NOT FOUND,NOT FOUND,RIGHT,SHAKEHAND,15,7,6,3,3,13,9,4,6,3,3
DOO Hoi Kem,24,1996,FEMALE,HONGKONG,2010,1.66,59,RIGHT,SHAKEHAND,13,9,9,4,5,17,10,7,26,14,12
JEON Jihee,28,1992,FEMALE,CHINA,2011,1.59,NOT FOUND,LEFT,SHAKEHAND,14,11,8,6,2,14,11,3,22,17,5
POLCANOVA Sofia,27,1994,FEMALE,AUSTRIA,2007,1.8,NOT FOUND,LEFT,SHAKEHAND,16,14,9,4,5,4,1,3,13,5,8
SATO Hitomi,23,1997,FEMALE,JAPAN,2013,1.63,NOT FOUND,RIGHT,SHAKEHAND,20,9,22,15,7,25,18,7,32,24,8
DIAZ Adriana,20,2000,FEMALE,PUERTO RICO,2011,1.63,64,RIGHT,SHAKEHAND,19,16,12,7,5,7,3,4,10,4,6
SOLJA Petrissa,27,1994,FEMALE,GERMANY,2008,1.68,67,LEFT,SHAKEHAND,18,13,6,6,0,8,6,2,14,12,2
HE Zhuojia,22,1998,FEMALE,CHINA,2011,1.66,NOT FOUND,RIGHT,SHAKEHAND,23,13,43,32,11,6,3,3,49,35,14
SUH Hyowon,34,1987,FEMALE,SOUTH KOREA,2002,1.59,54,RIGHT,SHAKEHAND,22,8,5,3,2,7,4,3,5,3,2
HAN Ying,38,1983,FEMALE,CHINA,2011,1.7,60,RIGHT,SHAKEHAND,21,6,5,3,2,1,0,1,5,3,2
KATO Miyu,26,1994,FEMALE,JAPAN,2010,1.59,52,RIGHT,SHAKEHAND,24,13,23,16,7,4,3,1,23,16,7
QIAN Tianyi,21,2000,FEMALE,CHINA,2011,NOT FOUND,NOT FOUND,LEFT,SHAKEHAND,27,21,11,8,3,14,9,5,11,8,3
