S.No.,Track Title,Artist Name,Album,Writer,Othername,ISNI code,IPI code,ISRC,SESAC Work ID,SESAC Publisher,ASCAP Work ID,ASCAP Publisher,ASCAP Publishers' IPI,BMI Work ID,BMI Publisher,GMR Work ID,GMR Publisher,GMR Publishers' IPI
34,Dark Horse,Katy perry,not found,Katy Perry,not found,['000000007371737X'],"['00292555933', '00515661558', '00515661656']",852f808a-e745-46da-b6cf-1ec8e824e4d5,623081,BEACH STREET MUSIC,340152632,UMLAUT CORPORATION (ASCAP),451956732,16480753,DEEETTA MUSIC,100068013,FOX GLOBAL MUSIC INC,801538365
35,Hot n Cold,Katy perry,not found,Katy Perry,not found,['000000007371737X'],"['00292555933', '00515661558', '00515661656']",74aa368b-5ba3-4ff5-b5a1-bda22914b5fe,58794,40 WEST,380075249,WARNER BROS INC (WARNER BROS MUSIC DIV),58855632,587106,UNIVERSAL SONGS OF POLYGRAM INTERNATIONAL INC,not found,not found,not found
36,Last Friday Night,Katy perry,not found,Katy Perry,not found,['000000007371737X'],"['00292555933', '00515661558', '00515661656']",8c060b42-9c4d-47fc-ad49-101e4c4e5cc7,688822810,ANTHEM COMPLETE VISION MUSIC,423409056,NOCTIS CULTUS,507885033,11872253,BONNIE MCKEE MUSIC,not found,not found,not found
37,Thinking of You,Katy perry,not found,Katy Perry,not found,['000000007371737X'],"['00292555933', '00515661558', '00515661656']",2a482d07-da84-40c8-9541-69592e520444,582888,CARTACUP PUBLISHING,500061703,HERALD SQUARE MUSIC CO THE,586632512,1498041,PAUL AND JONATHAN SONGS,100045706,FUTURE FURNITURE MUSIC,51242714
38,We dont talk anymore,Selena gomez,not found,Charlie Puth,not found,['0000000078270714'],['00595330238'],a16e6dab-38d7-4ec6-b751-c1ebb5e62c22,735698,CLAMSHELL MUSIC,531517930,MAHARLIKA GIRL MUSIC,462572645,not found,not found,not found,not found,not found
39,Let me love you,DJ Snake,Hit's Love 2018,Shaffer Smith,William Sami Étienne Grigahcine,not found,['00600662780'],6f0369cd-fbca-41f4-bc6e-00edf7f6d4f2,581706,EMI FORAY MUSIC,333975598,SONY/ATV MUSIC PUBLISHING (UK) LIMITED,269137346,22114058,BRIYUNLEE SONGS,not found,not found,not found
40,Never say never,Justin Bieber,not found,Adam Messinger,not found,['0000000114791200'],"['00611935265', '00611935363']",dd1199ef-6606-48ce-a4b1-6e9a47ae546d,107145,DAWN TREADER MUSIC,440050786,not found,not found,10589185,EMI BLACKWOOD MUSIC INC,100061956,UNIVERSAL MUSIC WORKS,832425062
41,Welcome to Jamrock,Damian Marley,Mix CD 3,Damian Marley,Jr. Gong,['0000000107840254'],['00345457353'],280161e6-2e1d-42bc-b8b6-3bee869aa5bb,not found,not found,531369154,BIDDAH MUZIK INC,404242209,7615387,UNIVERSAL SONGS OF POLYGRAM INTERNATIONAL INC,not found,not found,not found
42,Back to Black,Amy Winehouse,Quarantine: The Other Side of Us,Amy Winehouse,Amy Jade Winehouse,['0000000079920467'],['00461733556'],e74fdf17-0afa-41b8-a4c7-326b6cb12b6d,643414,LYRIC COLLISION,320383448,AVERAGE MUSIC,75616365,8423750,BMG PLATINUM SONGS US,not found,not found,not found
43,Poker Face,Lady Gaga,not found,Stefani Germanotta,not found,['0000000120254559'],"['00519338344', '00519338442', '00519338540']",26e20d55-86c9-41ab-8794-874e0f7daf3a,730955,FORGOTTEN FABLE,460056000,EMI ROBBINS CATALOG INC,128632966,9990767,HOUSE OF GAGA PUBLISHING LLC,not found,not found,not found
44,Family Affair,Sly and the Family Stone,The Greatest Hits Of 1972,Mary J Blige,"Sly, The Family Stone",['0000000121831573'],not found,f11b0f7e-11a8-4344-8546-4e8acb017f5e,567855,AIN'T NOTHING BUT FUNKIN' MUSI,360005067,not found,not found,5577656,COLORSCAPES PUBLISHING,not found,not found,not found
45,Drop it like its hot,Snoop Dogg,Coca Cola Hits 2005,Snoop Dogg,Snoop Doggy,['0000000120269646'],not found,79b52e14-0341-416e-bb41-6d546475ed73,not found,not found,341187237,MR PAIN PUBLISHING,448211959,5877699,CHOPPER CITY MUSIC PUBLISHING,100047610,WATERS OF NAZARETH PUBLISHING,192989113
46,Heartbeats,The Knife,not found,Karin Dreijer,not found,not found,not found,25e4be39-206d-484e-aea3-0871dcf4fad2,53653,DOTS AND LINES INK,380031983,not found,not found,547568,BMG PLATINUM SONGS US,100064011,SPRUCE ROAD PUBLISHING,799432288
47,Try Again,Aaliyah,I Care 4 U,Stephen Garrett,Aaliyah Dana Haughton,['0000000059585374'],not found,3485853e-e8cc-4d15-97cb-ba74f9f273d7,88448,CINETICS MUSIC,500120390,WALT DISNEY MUSIC COMPANY,580810454,1550800,SONGS OF UNIVERSAL INC,not found,FOX GLOBAL MUSIC INC,801538365
48,Dirt off your shoulder,Jay-Z,The Black Album,Shawn Carter,Shawn Corey Carter,"['0000000118335528', '0000000368615389']","['00240089393', '00240089491', '00240089589']",9d4c57fe-ba72-40d5-8bf0-c9c85825bee0,not found,not found,340964578,CARTER BOYS MUSIC,586631515,7427244,BIG BAD MR HAHN MUSIC,not found,not found,not found
49,Get the party started,P!nk,Live From Wembley Arena,Linda Perry,Pink,['000000012028175X'],['00342943558'],9f8d6ce7-6fd3-4f9c-a9f5-80b9805ef88e,not found,not found,370990055,CLOVER BEATS SONGS,880157722,14387559,THE REDEMPTIVE PROCESS,not found,not found,not found
50,Hung up,Madonna,not found,Madonna,not found,['000000010782262X'],"['00125053706', '00128246872', '00211854787']",31a6b752-291c-456f-ade5-f4b85545e6df,13407,H T FITZSIMONS CO INC,380599568,DICK LITTLE PUBLISHING,342839647,15507115,ALEXEI MISOUL MUSIC,100061283,WE ARE CREATIVE NATION,816507735
51,Use somebody,Kings Of Leon,2Cellos,Caleb Followill,not found,['0000000122901684'],not found,8c0e7d66-7b55-4cf8-9597-6d8dd5472468,51865970,not found,884869871,ANOZIRA PUBLISHING,419184354,9856673,not found,not found,not found,not found
52,I Bet you look good on the dance floor,Arctic Monkeys,Isles of Wonder: Music for the Opening Ceremony of the London 2012 Olympic Games,Alex Turner,The Arctic Monkeys,['000000012270850X'],not found,ec158537-8def-4dec-924f-94d976a0fad8,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
53,Viva La vida,Coldplay,Big Hits - 2009,Guy Berrymen,Cold Play,['000000011551394X'],not found,5ce88d3e-fff7-4da9-a02e-8399b9241d30,1060578,UNIVERSAL MUSIC PUBLISHING S A,520017723,EMI FEIST CATALOG INC,128632770,886854,SCREEN GEMS-EMI MUSIC INC,not found,not found,not found
54,Vertigo,U2,Vertigo in Mexico City,U2,U2 Kiwi,['0000000121505903'],not found,cf4ce2dd-a10e-45e9-81c1-259720f34d87,160770,FILMTRAX INC,220036977,WC MUSIC CORP,53026414,1584458,EMI GOLD HORIZON MUSIC CORP,100002799,ROCK DOG MUSIC,125248492
55,Hard to explain,The Strokes,not found,Julian Casablancas,not found,['0000000115477790'],not found,46bd3ddd-d910-4fa1-8eb5-9d6053f3794b,not found,not found,380519966,BMG GOLD SONGS,601191692,526770,SAY-BAH MUSIC,not found,not found,not found
56,The scientist,Friedel Weinert,Fjord,Chris Martin,not found,['0000000121220131'],['00626107862'],cb2e6818-0ad0-451c-9732-811c9b825471,517234,MARCELLI MUSIC,501633898,MOSH RAVE PUBLISHING,448476126,8009296,BRUIN MUSIC COMPANY,not found,not found,not found
57,Beautiful,Christina Aguilera,Keeps Gettin' Better: A Decade of Hits,Linda Perry,Christina Aquilera,['000000005518483X'],['00426316475'],d5c1f675-551b-41a3-9da0-08dbcf93b07e,2749,BROADMAN-PRESS,320027387,JEWEL MUSIC PUBLISHING CO INC,15310339,6340394,EMI BLACKWOOD MUSIC INC,100055514,APOCRAPHEX,437803450
