Name,Age,Country,Debut,Skill,ODI Matches,ODI Runs,ODI Wickets,ODI Catches,Test Matches,Test Runs,Test Wickets,Test Catches,T20 Matches,T20 Runs,T20 Wickets,T20 Catches
Shoaib Ahmed,33,India,2015,PACE BOWLER,0,0,0,0,0,0,0,0,0,0,0,0
GR Napier,40,England,1997,ALLROUNDER,0,0,0,0,0,0,0,0,0,0,0,0
KP Appanna,31,India,2006,ALLROUNDER,0,0,0,0,0,0,0,0,0,0,0,0
LA Carseldine,45,Australia,1998,ALLROUNDER,0,0,0,0,0,0,0,0,0,0,0,0
NV Ojha,37,India,2010,WICKETKEEPER BATSMAN,1,1,0,0,1,56,0,4,2,12,0,0
SM Harwood,46,Australia,2009,ALLROUNDER,1,0,2,0,0,0,0,0,3,0,3,0
M Vijay,36,India,2008,OPENING BATSMAN,17,339,1,9,61,3982,1,49,9,169,0,3
SB Jakati,40,India,1998,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0
DA Warner,34,Australia,2009,OPENING BATSMAN,128,5455,0,56,84,7244,4,68,81,2265,0,44
RJ Harris,28,Australia,2009,BOWLER,21,48,44,6,27,603,113,13,3,2,4,0
D du Preez,39,South Africa,2003,ALLROUNDER,0,0,0,0,0,0,0,0,0,0,0,0
M Morkel,36,South Africa,2006,BOWLER,117,268,188,31,86,944,309,25,44,22,47,5
AD Mathews,33,Srilanka,2008,ALLROUNDER,217,5830,120,53,86,5981,33,68,75,1119,38,23
J Botha,38,South Africa,2005,ALLROUNDER,78,609,72,36,5,83,17,3,40,201,37,17
SL Malinga,37,Srilanka,2004,BOWLER,226,567,338,31,30,275,101,7,84,136,107,21
Mashrafe Mortaza,37,Bangladesh,2001,BOWLER,220,1787,270,62,36,797,78,9,54,377,42,10
GJ Bailey,38,Australia,2012,TOP ORDER BATSMAN,90,3044,0,48,5,183,0,10,30,473,0,10
AB McDonald,82,Australia,2009,ALLROUNDER,0,0,0,0,4,107,9,2,0,0,0,0
R Ashwin,34,India,2010,BOWLING ALLROUNDER,111,675,150,30,71,2389,365,24,46,123,52,8
Mohammad Ashraful,36,Bangladesh,2001,MIDDLE ORDER BATSMAN,177,3468,18,35,61,2737,21,25,23,450,8,4
CA Pujara,32,India,2010,TOP ORDER BATSMAN,5,51,0,0,77,5840,0,51,0,0,0,0
AT Rayudu,35,India,2013,MIDDLE ORDER BATSMAN,55,1694,3,17,0,0,0,0,6,42,0,4
R McLaren,37,South Africa,2009,ALLROUNDER,54,485,77,13,2,47,3,0,12,9,17,3
EJG Morgan,34,England,2009,MIDDLE ORDER BATSMAN,242,7598,0,86,16,700,0,11,97,2278,0,41
SE Bond,45,New zealand,2001,BOWLER,82,292,147,15,18,168,87,8,20,21,25,4
KA Pollard,33,Westindies,2009,ALLROUNDER,113,2496,53,61,0,0,0,0,76,1226,37,36
DR Martyn,49,Australia,1992,TOP ORDER BATSMAN,208,5346,12,69,67,4406,2,36,4,120,0,1
UT Yadav,33,India,2010, BOWLER,75,79,106,22,46,340,144,17,7,2,9,3
R Sharma,34,India,2011,BOWLER,4,1,6,1,0,0,0,0,2,0,3,0
KM Jadhav,35,India,2014,BATTING ALLROUNDER,73,1389,27,33,0,0,0,0,9,122,0,1
SW Tait,37,Australia,2007,BOWLER,35,25,62,8,3,20,5,1,21,11,28,3
PD Collingwood,44,England,2001,ALLROUNDER,197,5078,111,108,68,4259,17,96,36,583,16,15
RS Sodhi,40,India,2000,ALLROUNDER,18,280,5,9,0,0,0,0,0,0,0,0
MR Marsh,29,Australia,2011,ALLROUNDER,60,1615,49,28,32,1260,42,16,15,258,7,4
AJ Finch,34,Australia,2011,TOP ORDER BATSMAN,132,5232,4,63,5,278,0,7,66,2149,0,29
STR Binny,36,India,2014,ALLROUNDER,14,230,20,3,6,194,3,4,3,35,1,0
MA Agarwal,29,India,2018,BATSMAN,5,86,0,2,11,974,0,7,0,0,0,0
WD Parnell,31,South Africa,2009,BOWLER,65,508,94,12,6,67,15,3,40,114,41,5
MS Wade,32,Australia,2012,WICKETKEEPER BATSMAN,94,1777,0,108,32,1440,0,69,33,427,0,15
TD Paine,35,Australia,2009,WICKETKEEPER BATSMAN,35,890,0,51,31,1330,0,133,12,82,0,11
